propension_12m,sexo,edad,d2_01,d2_03,d2_04,d2_05,d2_06,d2_07
1,2,38,9,5,1,7.0,1.0,2.0
0,1,65,9,3,2,5.0,1.0,1.0
0,1,51,9,5,0,7.0,1.0,1.0
0,2,27,9,6,1,5.0,1.0,2.0
0,1,23,9,6,0,6.0,1.0,1.0
0,1,19,9,6,0,4.0,1.0,1.0
0,2,27,9,6,1,6.0,1.0,2.0
1,1,36,9,2,2,6.0,1.0,1.0
1,1,28,9,6,0,7.0,1.0,1.0
0,2,21,9,3,0,4.0,1.0,2.0
1,1,23,5,2,0,4.0,1.0,1.0
1,2,21,9,6,0,7.0,1.0,2.0
1,1,31,9,6,0,6.0,2.0,1.0
0,1,48,1,6,2,3.0,1.0,1.0
1,1,20,9,6,0,4.0,1.0,1.0
0,2,49,5,3,2,6.0,1.0,2.0
1,1,64,9,6,4,3.0,1.0,1.0
0,1,38,9,6,0,8.0,2.0,1.0
1,1,23,5,6,2,5.0,1.0,1.0
1,1,33,9,6,1,4.0,1.0,1.0
0,1,43,9,1,1,5.0,1.0,1.0
0,2,52,9,4,1,5.0,1.0,2.0
0,1,53,9,3,2,8.0,1.0,1.0
0,1,29,9,6,2,5.0,1.0,1.0
0,2,55,9,6,0,6.0,1.0,2.0
1,1,27,1,6,0,3.0,1.0,1.0
0,1,20,5,6,0,6.0,1.0,1.0
0,1,30,9,6,0,4.0,1.0,1.0
0,2,53,9,2,1,5.0,1.0,2.0
1,1,22,9,6,0,4.0,1.0,1.0
0,1,20,9,6,0,5.0,1.0,1.0
1,2,36,9,6,0,8.0,1.0,2.0
1,2,18,9,1,0,5.0,1.0,2.0
0,1,62,9,5,0,3.0,1.0,1.0
0,1,58,9,2,2,6.0,1.0,1.0
0,1,35,1,6,2,6.0,1.0,1.0
0,2,65,9,2,2,6.0,1.0,2.0
0,1,52,9,2,3,5.0,1.0,1.0
0,1,26,9,5,1,5.0,1.0,1.0
0,2,58,9,3,3,5.0,1.0,2.0
0,2,34,9,6,1,7.0,1.0,2.0
1,1,41,9,3,2,6.0,1.0,1.0
1,1,25,9,1,0,8.0,1.0,1.0
0,1,29,9,2,0,6.0,1.0,1.0
1,1,30,9,6,0,6.0,1.0,1.0
0,1,62,9,3,2,6.0,1.0,1.0
0,1,27,5,3,0,7.0,1.0,1.0
0,1,51,5,5,3,4.0,1.0,1.0
0,1,61,5,5,1,4.0,1.0,1.0
1,1,43,9,2,2,3.0,1.0,1.0
0,1,22,9,2,1,3.0,1.0,1.0
0,1,45,9,2,7,4.0,1.0,1.0
1,2,18,9,6,1,5.0,1.0,2.0
0,1,38,9,2,3,5.0,1.0,1.0
0,1,26,9,2,1,5.0,1.0,1.0
0,1,38,9,5,2,3.0,1.0,1.0
0,2,63,9,2,5,3.0,1.0,2.0
0,1,25,9,6,0,7.0,1.0,1.0
0,2,32,9,3,1,4.0,1.0,2.0
0,2,50,9,3,3,6.0,1.0,2.0
0,1,20,9,6,0,7.0,1.0,1.0
1,1,40,9,1,2,5.0,1.0,1.0
0,1,40,9,6,1,5.0,1.0,1.0
1,1,25,9,6,0,5.0,1.0,1.0
0,1,56,9,3,2,3.0,1.0,1.0
1,1,32,9,1,0,7.0,1.0,1.0
1,1,37,9,1,2,4.0,1.0,1.0
1,1,23,9,2,1,4.0,1.0,1.0
0,2,23,9,6,0,7.0,1.0,2.0
0,1,18,9,6,0,7.0,1.0,1.0
0,2,24,9,1,1,4.0,1.0,2.0
0,1,39,9,6,0,6.0,1.0,1.0
0,2,28,9,2,2,7.0,1.0,2.0
0,1,34,9,3,2,5.0,1.0,1.0
0,1,29,9,2,2,5.0,1.0,1.0
0,1,18,9,6,1,5.0,1.0,1.0
1,1,37,9,3,2,6.0,1.0,1.0
0,2,33,9,1,0,8.0,1.0,2.0
0,1,19,9,6,0,7.0,1.0,1.0
0,1,30,9,6,0,6.0,1.0,1.0
1,1,49,9,2,4,3.0,1.0,1.0
0,2,30,5,5,1,7.0,1.0,2.0
1,1,45,9,6,2,3.0,1.0,1.0
0,1,31,9,2,2,5.0,1.0,1.0
1,1,32,9,6,1,6.0,1.0,1.0
0,1,47,1,2,1,3.0,1.0,1.0
1,1,36,9,6,0,7.0,1.0,1.0
0,2,24,9,6,1,5.0,3.0,2.0
