directorio,secuencia_encuesta,secuencia_p,orden,propension_12m,consumo_12m,consumo_12m_missing_original,precio_compra,log_precio_compra,cantidad_consumo,gasto_valor,sexo,sexo_label,edad,edad_cuadrado,d2_05,educacion_label,educacion_grupo,n_hijos,familiares_consumen,amigos_consumen,probaria_sustancias,cannabis_medicinal,actividad_laboral,regimen_salud,sintomas_depresivos,anhedonia,riesgo_marihuana_ocasional,riesgo_marihuana_frecuente,frecuencia_consumo,facil_marihuana,consumo_vida,consumo_30d,consumo_reciente,edad_inicio,tipo_sustancia,lugar_consumo,forma_conseguir,gasto_total,gasto_descripcion,riesgo_marihuana,riesgo_cocaina,riesgo_basuco,riesgo_extasis,riesgo_heroina,riesgo_lsd,riesgo_inhalantes,riesgo_anfetaminas,riesgo_tranquilizantes,facilidad_conseguir,facil_cocaina,facil_basuco,actitud_marihuana,actitud_cocaina,actitud_basuco,actitud_extasis,actitud_heroina,actitud_lsd,actitud_inhalantes,actitud_anfetaminas,actitud_tranquilizantes,actitud_drogas_general,actitud_legalizacion,actitud_regulacion,actitud_prevencion,actitud_sanciones,actitud_tratamiento,d2_01,d2_03,d2_04,d2_06,d2_07,g_01,g_02,g_04,g_09,d_02,d_07,d_09,d_10,d_11_f,d_11_g
36760,4,1,4,1,1.0,0,,,2.0,5000.0,1,Hombre,22,484,5,Media,Media,1,1.0,1.0,0.0,0.0,Trabajando,Subsidiado,0.0,0.0,3.0,3.0,1,,,,,3,1.0,2.0,,1.0,CINCO MIL PESOS,,,1.0,,,,,,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,2,1,1.0,1.0,1,1,2,2,1,3.0,2,2,3,3
36784,4,1,4,0,,1,,,,,2,Mujer,21,441,7,Universitaria,Superior,0,0.0,1.0,0.0,0.0,Trabajando,Contributivo,0.0,0.0,2.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,0,3.0,2.0,2,1,2,2,1,1.0,2,2,2,2
36795,4,1,4,1,1.0,0,100000.0,11.512925464970229,5.0,2000.0,1,Hombre,22,484,7,Universitaria,Superior,0,1.0,1.0,1.0,1.0,Estudiando,Subsidiado,0.0,0.0,3.0,3.0,1,1.0,1.0,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,,,,,,,1.0,1.0,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9,6,0,1.0,1.0,1,1,1,1,3,3.0,2,2,3,3
36822,2,1,2,1,1.0,0,200000.0,12.206072645530174,60.0,2000.0,2,Mujer,28,784,7,Universitaria,Superior,1,0.0,1.0,1.0,1.0,Estudiando,Subsidiado,0.0,0.0,2.0,2.0,1,1.0,1.0,1.0,,3,5.0,1.0,30.0,1.0,DOS MIL PESOS,,,,1.0,1.0,,,,,1.0,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5,2,1,1.0,2.0,2,1,1,1,3,3.0,2,2,2,2
36830,1,1,1,0,,1,,,,,2,Mujer,37,1369,7,Universitaria,Superior,0,0.0,1.0,1.0,1.0,Trabajando,Contributivo,0.0,0.0,3.0,3.0,1,1.0,,,1.0,3,3.0,2.0,,2.0,,,,,1.0,,,,,,1.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9,5,0,3.0,2.0,2,1,1,1,1,1.0,2,2,3,3
36843,1,1,1,1,1.0,0,,,,,2,Mujer,33,1089,5,Media,Media,2,1.0,0.0,0.0,1.0,Trabajando,Subsidiado,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,2,1.0,2.0,1,2,2,1,1,3.0,1,1,4,4
36854,3,1,3,0,,1,,,,,1,Hombre,29,841,6,Tecnica/tecnologica,Superior,3,0.0,0.0,0.0,0.0,Trabajando,Contributivo,1.0,1.0,4.0,4.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,4,3,1.0,1.0,2,2,2,2,1,1.0,1,1,4,4
36925,1,1,1,1,1.0,0,,,,,1,Hombre,30,900,5,Media,Media,1,0.0,0.0,1.0,0.0,Trabajando,Subsidiado,0.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,1,1.0,1.0,2,2,1,2,1,3.0,2,2,4,4
36929,1,1,1,1,1.0,0,,,,,2,Mujer,33,1089,5,Media,Media,3,0.0,0.0,0.0,0.0,Oficios del hogar,Especial,0.0,0.0,4.0,4.0,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,1.0,2.0,2,2,2,2,4,2.0,2,2,4,4
36935,3,1,3,1,1.0,0,,,,,2,Mujer,30,900,6,Tecnica/tecnologica,Superior,0,1.0,0.0,0.0,1.0,Oficios del hogar,,1.0,1.0,2.0,2.0,2,,1.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2,0,1.0,2.0,1,2,2,1,4,,1,1,2,2
