d2_01,d2_03,d2_04,d2_05,d2_05_a,d2_06,d2_07,directorio,secuencia_encuesta,secuencia_p,orden
9,6,3,7,705,1.0,2.0,264,1,1,1
1,2,4,6,601,1.0,1.0,265,1,1,1
9,6,0,5,511,1.0,1.0,266,1,1,1
9,5,0,8,803,1.0,2.0,267,1,1,1
9,1,2,6,603,1.0,2.0,268,2,1,2
9,3,3,7,705,1.0,2.0,269,2,1,2
9,6,0,5,511,1.0,1.0,270,1,1,1
9,2,0,4,409,1.0,2.0,271,2,1,2
9,6,0,7,701,,,272,4,1,4
9,6,1,6,601,1.0,2.0,273,2,1,2
1,6,0,6,600,1.0,2.0,274,1,1,1
5,1,1,5,511,1.0,2.0,275,2,1,2
9,6,0,5,510,1.0,2.0,277,3,1,3
9,2,1,5,511,1.0,2.0,278,2,1,2
1,5,2,4,408,1.0,1.0,279,1,1,1
9,3,3,3,300,1.0,1.0,280,2,1,2
5,2,6,6,602,1.0,1.0,283,1,1,1
1,2,1,6,602,1.0,1.0,284,1,1,1
9,2,6,4,409,1.0,1.0,286,1,1,1
9,3,0,7,705,1.0,2.0,287,2,1,2
5,6,0,3,305,,,288,3,1,3
9,3,3,5,510,1.0,2.0,289,2,1,2
9,6,1,7,703,1.0,1.0,290,1,1,1
9,6,0,3,300,,,291,3,1,3
9,5,3,5,511,1.0,2.0,292,1,1,1
9,3,3,7,705,1.0,2.0,293,2,1,2
9,6,0,5,510,1.0,2.0,295,2,1,2
9,6,0,7,705,1.0,2.0,297,3,1,3
9,2,3,7,705,1.0,1.0,298,1,1,1
9,5,4,5,511,1.0,2.0,299,1,1,1
9,2,0,7,705,1.0,1.0,300,1,1,1
5,2,1,6,602,1.0,2.0,304,2,1,2
9,6,0,7,702,1.0,1.0,305,1,1,1
5,4,1,3,305,3.0,2.0,306,2,1,2
9,6,0,7,704,1.0,2.0,307,5,1,5
9,3,2,7,705,1.0,1.0,308,1,1,1
5,6,3,7,705,1.0,1.0,309,1,1,1
9,4,0,6,601,1.0,2.0,310,1,1,1
9,3,3,5,511,1.0,1.0,311,1,1,1
9,6,3,5,511,1.0,2.0,313,2,1,2
9,6,0,8,804,1.0,1.0,315,3,1,3
1,4,1,5,511,1.0,2.0,316,1,1,1
9,6,1,4,407,1.0,2.0,317,6,1,6
9,6,0,5,510,1.0,1.0,318,6,1,6
1,3,2,8,802,1.0,2.0,319,1,1,1
1,4,3,7,707,1.0,2.0,320,1,1,1
9,6,0,6,602,1.0,1.0,321,2,1,2
9,6,0,7,705,1.0,1.0,322,3,1,3
5,6,0,7,705,1.0,2.0,323,3,1,3
5,3,3,3,305,1.0,2.0,325,1,1,1
9,3,1,5,511,1.0,2.0,327,2,1,2
9,5,2,5,511,1.0,1.0,328,1,1,1
9,3,1,3,300,1.0,2.0,329,2,1,2
5,3,4,3,305,3.0,2.0,330,1,1,1
9,6,0,6,604,1.0,2.0,331,3,1,3
9,5,3,5,511,1.0,2.0,332,1,1,1
9,6,0,4,406,,,333,3,1,3
9,1,1,6,601,1.0,2.0,334,1,1,1
9,2,2,5,511,1.0,2.0,335,2,1,2
5,6,1,3,305,1.0,2.0,336,1,1,1
9,5,1,4,406,1.0,2.0,337,4,1,4
9,6,0,6,602,1.0,2.0,338,2,1,2
5,6,1,5,511,1.0,2.0,339,3,1,3
9,5,1,5,511,1.0,1.0,340,2,1,2
9,5,1,3,305,1.0,2.0,343,3,1,3
1,3,3,5,511,1.0,2.0,344,2,1,2
5,3,3,6,602,1.0,1.0,345,1,1,1
9,6,0,7,705,1.0,1.0,346,1,1,1
1,3,2,8,802,1.0,2.0,347,2,1,2
9,6,0,7,703,1.0,1.0,348,3,1,3
9,3,2,5,511,1.0,2.0,349,2,1,2
9,2,2,6,602,1.0,2.0,350,2,1,2
